feature,shap_value,absolute_shap_value
Feature_827,0.0001404839462338714,0.0001404839462338714
Feature_318,0.00014010062382794787,0.00014010062382794787
Feature_351,0.00014003058793718993,0.00014003058793718993
Feature_187,0.0001395467237034609,0.0001395467237034609
Feature_340,0.00013952050714578944,0.00013952050714578944
Feature_109,-0.00013908399785577785,0.00013908399785577785
Feature_437,0.00013888584375763458,0.00013888584375763458
Feature_298,-0.00013855556990165495,0.00013855556990165495
Feature_810,-0.000138499322480925,0.000138499322480925
Feature_354,0.00013835185451171127,0.00013835185451171127
Feature_140,0.00013777868547208528,0.00013777868547208528
Feature_19,0.00013664957355558727,0.00013664957355558727
Feature_279,-0.00013623685124002804,0.00013623685124002804
Feature_552,0.0001347808994614752,0.0001347808994614752
Feature_884,0.00013222593719547149,0.00013222593719547149
Feature_305,0.0001321269104755629,0.0001321269104755629
Feature_549,0.00012825694733692216,0.00012825694733692216
Feature_528,0.00012791424520401052,0.00012791424520401052
Feature_427,0.00012789011603672406,0.00012789011603672406
Feature_237,0.00012766012310805764,0.00012766012310805764
Feature_600,0.00012718833997496404,0.00012718833997496404
Feature_702,0.00012618166206266324,0.00012618166206266324
Feature_957,0.00012445200160811964,0.00012445200160811964
Feature_277,0.00012319819579715842,0.00012319819579715842
Feature_250,0.00012244158133057682,0.00012244158133057682
Feature_64,-0.00012159275574219919,0.00012159275574219919
Feature_943,0.00012094898459054093,0.00012094898459054093
Feature_629,0.00012094510753740906,0.00012094510753740906
Feature_134,0.00012076666786015267,0.00012076666786015267
Feature_470,0.00011959439198108157,0.00011959439198108157
Feature_798,0.00011948891426072806,0.00011948891426072806
Feature_317,0.00011821035567663785,0.00011821035567663785
Feature_1013,0.00011813710993010319,0.00011813710993010319
Feature_481,0.00011779963292610774,0.00011779963292610774
Feature_891,0.00011760336461975384,0.00011760336461975384
Feature_606,-0.0001172804262387217,0.0001172804262387217
Feature_722,0.00011622711679933673,0.00011622711679933673
Feature_465,0.00011448575164649811,0.00011448575164649811
Feature_797,0.00011376737839782436,0.00011376737839782436
Feature_592,0.00011337785035721026,0.00011337785035721026
Feature_48,0.00011206364881218178,0.00011206364881218178
Feature_24,0.0001118782537196239,0.0001118782537196239
Feature_582,0.00011184088461050124,0.00011184088461050124
Feature_370,0.00011180992270965362,0.00011180992270965362
Feature_820,0.00010995278508744377,0.00010995278508744377
Feature_423,-0.00010929329560894985,0.00010929329560894985
Feature_404,-0.00010870826678001322,0.00010870826678001322
Feature_101,0.00010839345826752833,0.00010839345826752833
Feature_594,0.00010817720759860094,0.00010817720759860094
Feature_131,-0.00010805633575500907,0.00010805633575500907
Feature_79,-0.0001079711251986737,0.0001079711251986737
Feature_969,0.00010767334919819404,0.00010767334919819404
Feature_52,0.00010640201827300189,0.00010640201827300189
Feature_705,-0.00010538553891819902,0.00010538553891819902
Feature_864,-0.00010495092905330239,0.00010495092905330239
Feature_673,0.00010406312333770983,0.00010406312333770983
Feature_586,0.00010313412122741284,0.00010313412122741284
Feature_359,-0.00010311381439350953,0.00010311381439350953
Feature_521,0.0001027932936904108,0.0001027932936904108
Feature_596,0.00010255512971866665,0.00010255512971866665
Feature_482,0.00010119286067492794,0.00010119286067492794
Feature_781,0.00010112664750522527,0.00010112664750522527
Feature_556,0.00010087767106597311,0.00010087767106597311
Feature_831,9.984509534660902e-05,9.984509534660902e-05
Feature_853,9.968110514819273e-05,9.968110514819273e-05
Feature_452,9.934317068200472e-05,9.934317068200472e-05
Feature_167,9.874603431853757e-05,9.874603431853757e-05
Feature_88,9.822858084135077e-05,9.822858084135077e-05
