feature,importance
Feature_823,0.0003235021716734682
Feature_783,0.00031772014938982317
Feature_659,0.00031757578159993035
Feature_72,0.00031748537764998805
Feature_971,0.0003166506373128507
Feature_862,0.0003164969486321584
Feature_76,0.0003163604866407606
Feature_149,0.0003136874301664361
Feature_33,0.00031134377593633515
Feature_614,0.0003112548108523405
Feature_303,0.00030932045575186043
Feature_371,0.00030842635966295295
Feature_472,0.00030818384216092884
Feature_609,0.0003035346063353505
Feature_527,0.0003032150820607602
Feature_666,0.0003017708907780385
Feature_798,0.0003014243921494995
Feature_377,0.0003001245142715984
Feature_864,0.00029950366171590246
Feature_628,0.00029902531169675425
Feature_405,0.00029814880796502413
Feature_1021,0.0002980936184816352
Feature_67,0.00029630975755268104
Feature_160,0.00029572962038233025
Feature_259,0.00029571736146068254
Feature_97,0.0002954370229095778
Feature_354,0.00029536008854389226
Feature_436,0.00029358175994025125
Feature_952,0.00029321237243341733
Feature_848,0.000291796932002827
Feature_128,0.0002911757534676327
Feature_218,0.0002909568837016542
Feature_178,0.0002898426600457159
Feature_542,0.0002890543524219112
Feature_544,0.0002885214859438424
Feature_82,0.00028540324430324044
Feature_989,0.0002847098390642206
Feature_416,0.0002843365167976824
Feature_591,0.00027981919283115073
Feature_174,0.00027969571508670556
Feature_762,0.00027614193836093034
Feature_573,0.00027538432758790704
Feature_13,0.00027385308628655804
Feature_23,0.0002732430595166127
Feature_771,0.00027279285209740284
Feature_270,0.00027231473141899054
Feature_965,0.00027099836434946715
Feature_470,0.000269458067032875
Feature_656,0.0002683324663515209
Feature_121,0.00026820309913212585
Feature_841,0.00026765536324404465
Feature_950,0.0002665943932633748
Feature_679,0.0002654330642776669
Feature_209,0.0002651013544685698
Feature_496,0.00026452634003048473
Feature_534,0.0002644987211212173
Feature_567,0.00026304591374880703
Feature_468,0.0002620627962794445
Feature_828,0.000261985518737606
Feature_486,0.0002606143294671581
Feature_184,0.0002603481398519342
Feature_52,0.0002601026038183954
Feature_505,0.0002590781416730597
Feature_476,0.0002568679682798824
Feature_784,0.000256490105910319
Feature_577,0.00025258054157079567
Feature_1024,0.00025246061142418513
Feature_1019,0.0002522261132007295
Feature_190,0.00025208311183243487
Feature_498,0.00025057938519579737
